ILI	EN	UA_WORD	UA_DEF
i54807	trunk road: a highway	магістральна дорога	 автомагістраль
i34968	coincide: go with, fall together	збігатися	 йти разом, падати разом
i55721	lingerie: women's underwear and nightclothes	білизна	 жіноча нижня білизна та нічні сорочки
i45931	night raven: nocturnal or crepuscular herons	ворон нічний	 нічні або сутінкові чаплі
i82714	capital of Cape Verde: the capital of Cape Verde on Sao Tiago Island	столиця Кабо-Верде	 столиця Кабо-Верде на острові Сан-Тіагу
i74391	dissent: a difference of opinion	дисидентство	 розбіжність у поглядах
i28654	squeeze: squeeze or press together	стискати	 стискати або притискати разом
i84030	Republic of Estonia: a republic in northeastern Europe on the Baltic Sea, with capital Tallinn	Естонська Республіка	 республіка в північно-східній Європі на березі Балтійського моря зі столицею Таллінн
i84038	Republic of Lithuania: a republic in northeastern Europe on the Baltic Sea, with capital Vilnius	Литовська Республіка	 республіка в північно-східній Європі на березі Балтійського моря зі столицею у Вільнюсі.
i28818	whip: whip with or as if with a wire whisk	збивати	 збивати дротяним віночком або наче дротяним віночком
i35444	transplant: be transplantable	пересаджувати	 бути пересаджуваним
i62115	immovableness: not capable of being moved or rearranged	нерухомість	 не може бути переміщена або переставлена
i69962	short story: a prose narrative shorter than a novel	новела	 прозова оповідь, коротша за роман
i29917	think up: devise or invent	придумати	 вигадати або винайти
i69155	irreverence: an irreverent mental attitude	нешанобливість	 нешанобливе ментальне ставлення
i91155	maiden: an unmarried girl (especially a virgin)	дівиця	 незаміжня дівчина (особливо незаймана)
i111855	appendicitis: inflammation of the vermiform appendix	апендицит	 запалення червоподібного відростка
i83730	capital of Guinea: a port and the capital of Guinea	столиця Гвінеї	 порт і столиця Гвінеї
i35105	reach into: run into or up to	сягати до	 наштовхуватися на або до
i29480	scratch out: strike or cancel by or as if by rubbing or crossing out	викреслити	 викреслити або анулювати шляхом або як би витиранням або перекресленням
i55599	lead pencil: pencil that has graphite as the marking substance	свинцевий олівець	 олівець, що має графіт як маркувальну речовину
i34957	coincide: be the same	збігатися	 бути однаковим
i40677	IQ test: a psychometric test of intelligence	IQ тест	 психометричний тест інтелекту
i74032	grade: a degree of ablaut	ступінь	 ступінь аблаута
i29110	crap up: become or cause to become obstructed	заважати	 створювати або спричиняти перешкоди
i93316	flight attendant: an attendant on an airplane	стюардеса	 супроводжуюча особа в літаку
i115011	dilutant: a diluting agent	dilutant	 розріджувач
i117259	quarter-hour: a quarter of an hour	чверть години	 чверть години
i112382	lymphangitis: inflammation of a lymph vessel	лімфангіт	 запалення лімфатичної судини
i31648	draw up: straighten oneself	випростатися	 випрямитися
i61408	dispassionateness: objectivity and detachment	безпристрасність	 об'єктивність та відстороненість
i41645	acquittal: a judgment of not guilty	виправдувальний вирок	 вирок про невинуватість
i28426	open: become open	відкривати	 ставати відкритим
i106982	gold: coins made of gold	золото	 монети із золота
i57957	range hood: exhaust hood over a kitchen range	витяжка	 витяжка над кухонною плитою
i46576	vixen: a female fox	лисиця	 самка лисиці
i92176	pothunter: a nonprofessional archeologist	потхантер	 непрофесійний археолог
i29997	turn out: bring forth	виявлятися	 приносити
i98705	petiolule: the stalk of a leaflet	черешок	 стебло листка
i24194	boost: increase or raise	boost	 збільшувати або піднімати
i72655	expression: expression without words	експресія	 вираження без слів
i40891	hagiolatry: the worship of saints	агіолатрія	 поклоніння святим
i93147	son-in-law: the husband of your daughter	зять	 чоловік вашої дочки
i110753	tubal pregnancy: ectopic pregnancy in a Fallopian tube	трубна вагітність	 позаматкова вагітність у фаллопієвій трубі
i67814	sine qua non: a prerequisite	sine qua non	 обов'язкова умова
i32229	hop: jump across	hop	 перестрибнути через
i4094	determinable: capable of being determined or limited or fixed	детермінований	 здатний бути визначеним, обмеженим або зафіксованим
i66792	bewilderment: confusion resulting from failure to understand	здивування	 розгубленість, що виникає через нерозуміння
i46793	claw: a bird's foot	кіготь	 пташина лапка
i27166	recede: retreat	recede	 відступати
i28124	fasten: attach to	кріпити	 прикріплювати до
i48832	elephant: five-toed pachyderm	слон	 п'ятипала пахідерма
i41497	execution: putting a condemned person to death	страта	 приведення засудженого до смерті
i22885	subside: wear off or die down	вщухати	 вичерпуватися або згасати
i41058	bar: the act of preventing	бар	 акт запобігання
i112438	thyroiditis: inflammation of the thyroid gland	тиреоїдит	 запалення щитовидної залози
i24482	erupt: break out	вивергатися	 спалахувати
i76138	suffering: psychological suffering	страждання	 психологічні страждання
i35217	hold in: close in	триматися	 наближатися
i25459	command: be in command of	Командуй	 командуй над
i62192	admissibility: acceptability by virtue of being admissible	прийнятність	 прийнятність в силу того, що вона є прийнятною
i79528	military government: government by the military and an army	військовий уряд	 уряд військових та армії
i81310	day school: a private school taking day students only	денна школа	 приватна школа, в якій навчаються лише денні учні
i56764	orb web: a circular spider web	павутина	 кругова павутина
i61961	parallelism: similarity by virtue of corresponding	паралелізм	 подібність через відповідність
i31983	whirl: fly around	кружляти	 літати навколо
i31953	collapse: fall apart	collapse	 розвалюватися на частини
i7298	unintended: not deliberate	ненавмисний	 ненавмисний
i37432	parcellation: the division into parcels	парцеляція	 поділ на посилки
i89471	department head: the head of a department	керівник відділу	 керівник відділу
i39820	grazing: the act of grazing	випасання худоби	 акт випасання худоби
i24141	fixate: become fixed (on)	фіксуватися	 ставати фіксованим (на)
i110937	hysterics: an attack of hysteria	істерика	 напад істерики
i110738	myasthenia: any muscular weakness	міастенія	 будь-яка м'язова слабкість
i63481	acidity: pH values below 7	кислотність	 значення pH нижче 7
i70768	employment contract: contract between employer and employee	трудовий договір	 договір між роботодавцем і працівником
i58912	side road: a minor road branching off of a main road	бічна дорога	 другорядна дорога, що відгалужується від головної дороги
i45157	Metatheria: pouched animals	Метатерія	 тварини в мішках
i62181	harmfulness: the quality of being noxious	Шкідливість	 якість бути шкідливим
i32865	remove: dispose of	видалити	 утилізувати
i29128	hang: be suspended or hanging	висіти	 бути підвішеним або висіти
i61789	apparentness: the property of being apparent	очевидність	 властивість бути видимим
i62550	perseverance: persistent determination	наполегливість	 наполеглива рішучість
i110422	night: darkness	ніч	 темрява
i112424	sinusitis: inflammation of one of the paranasal sinuses	гайморит	 запалення однієї з придаткових пазух носа
i34119	distribute: release	розповсюджувати	 реліз
i66633	photosensitivity: sensitivity to the action of radiant energy	фоточутливість	 чутливість до дії променевої енергії
i37183	eye movement: the movement of the eyes	рух очей	 рух очей
i57846	quill: pen made from a bird's feather	перо	 перо з пташиного пера
i75156	emergence: the becoming visible	емерджентність	 становлення видимим
i33944	work: operate in or through	працювати	 діяти в або через
i74890	marking: a distinguishing symbol	маркування	 розпізнавальний знак
i62438	spitefulness: malevolence by virtue of being malicious or spiteful or nasty	злостивість	 недоброзичливість через те, що вона є злісною, недоброзичливою або неприємною
i2839	comparable: able to be compared or worthy of comparison	порівнянний	 який можна порівняти або який заслуговує на порівняння
i2724	disproportionate: out of proportion	непропорційний	 непропорційний
i81527	metadata: data about data	метадані	 дані про дані
i6367	unharmonious: not in harmony	негармонійний	 не в гармонії
i91855	paratrooper: a soldier in the paratroops	десантник	 військовослужбовець парашутно-десантних військ
i33770	remove: cause to leave	видалити	 причина для звільнення
i111375	pleurisy: inflammation of the pleura of the lungs (especially the parietal layer)	плеврит	 запалення плеври легень (особливо парієтального шару)
i24603	remove: get rid of something abstract	видалити	 позбутися чогось абстрактного
i52213	communication system: a system for communicating	комунікаційна система	 система для спілкування
i1673	incalculable: not able to be computed or enumerated	не піддається обчисленню	 не може бути обчислений або перерахований
i33940	oversee: watch and direct	контролювати	 спостерігати і керувати
i88053	accused: a defendant in a criminal proceeding	обвинувачений	 підсудний у кримінальному провадженні
i31650	prick: to stick up	стирчати	 стирчати
i78400	condensed milk: sweetened evaporated milk	згущене молоко	 підсолоджене згущене молоко
i116556	firewood: wood used for fuel	дрова	 деревина, що використовується як паливо
i29591	discerp: divide into pieces	discerp	 ділити на частини
i61482	readiness: prompt willingness	готовність	 оперативна готовність
i26072	ensure: make certain of	забезпечити	 переконатися в тому, що
i89876	falsifier: someone who falsifies	фальсифікатор	 той, хто фальсифікує
i107762	multiplication: a multiplicative increase	мультиплікація	 мультиплікативне збільшення
i27769	diffuse: spread or diffuse through	дифузний	 поширюватися або розсіюватися
i9443	unpardonable: not admitting of pardon	не підлягає помилуванню	 не визнає помилування
i76183	gratitude: a feeling of thankfulness and appreciation	вдячність	 почуття подяки та вдячності
i26393	come back: go back to something earlier	повертатися	 повертатися до чогось раніше
i73392	Fang: a Bantu language spoken in Cameroon	Фанг	 мова банту, якою розмовляють у Камеруні
i75227	extermination: complete annihilation	винищення	 повне знищення
i25999	proposition: suggest sex to	пропозиція	 запропонувати секс
i34126	legitimatize: make legal	легітимізувати	 зробити законним
i49936	Allen wrench: a wrench for Allen screws	Шестигранний ключ	 ключ для шестигранних гвинтів
i51919	church tower: the tower of a church	церковна вежа	 вежа церкви
i30506	make up: devise or compose	вигадувати	 придумувати або складати
i102321	onion: the bulb of an onion plant	цибуля	 цибулина рослини цибулі
i37078	drive: the act of driving a herd of animals overland	перегін	 акт перегону стада тварин по суші
i63584	fleetness: rapidity of movement	швидкоплинність	 швидкість пересування
i91512	musicologist: a student of musicology	музикознавець	 студент музикознавства
i67998	shape: a perceptual structure	форма	 структура сприйняття
i55840	jalousie: a window with glass louvers	жалюзі	 вікно зі скляними жалюзі
i97951	sunshine: the rays of the sun	сонячне світло	 промені сонця
i32093	regurgitate: pour or rush back	відригувати	 виливати або кидатися назад
i107905	refilling: filling again by supplying what has been used up	поповнення	 повторне заповнення шляхом постачання того, що було використано
i31889	break up: disband	розпадатися	 розпускатися
i33282	return: give back	повертати	 віддавати
i45234	calf: young of domestic cattle	теля	 молодняк великої рогатої худоби
i61890	inferiority: an inferior quality	неповноцінність	 нижча якість
i33651	go against: resist	йти проти	 чинити опір
i62361	dutifulness: piety by virtue of devotion to duty	покірність	 побожність через відданість обов'язку
i37763	ice skating: skating on ice	катання на ковзанах	 катання на льоду
i41307	viticulture: the cultivation of grapes and grape vines	виноградарство	 вирощування винограду та виноградної лози
i31687	go down: go under	піти вниз	 піти під воду
i36889	foot: travel by walking	пішки	 подорож пішки
i47258	praying mantid: the common mantis	Богомол	 богомол звичайний
i112256	myalgia: pain in a muscle or group of muscles	міалгія	 біль у м'язі або групі м'язів
i75756	seaquake: an earthquake at the sea bed	морський землетрус	 землетрус на морському дні
i32002	go past: move past	пройти повз	 пройти повз
i36999	paragliding: gliding in a parasail	парапланеризм	 політ на парашуті
i84043	Chisinau: the capital of Moldova	Кишинів	 столиця Молдови
i24076	knock out: eliminate	вибити	 усунути
i33285	restore: give or bring back	відновити	 віддати або повернути
i16187	epistemic: of or relating to epistemology	епістемічний	 про епістемологію або такий, що стосується епістемології
i27843	slam: strike violently	slam	 сильний удар
i28580	splash: dash a liquid upon or against	бризкати	 розбризкувати рідину на або проти
i33972	shut out: prevent from entering	вимкнути	 заборонити вхід
i93860	urologist: a specialist in urology	уролог	 фахівець з урології
i91861	parishioner: a member of a parish	парафіянин	 член парафії
i62159	sincerity: a quality of naturalness and simplicity	щирість	 якість природності та простоти
i27630	chaw: chew without swallowing	chaw	 жувати, не ковтаючи
i23463	concur: happen simultaneously	збігатися	 відбуватися одночасно
i70816	bill: a statute in draft before it becomes law	законопроект	 проект закону до того, як він стане законом
i88732	bureaucrat: an official of a bureaucracy	бюрократ	 представник бюрократичного апарату
i77090	wing: the wing of a fowl	крило	 крило птаха
i62369	godlessness: impiety by virtue of not being a godly person	безбожництво	 нечестивість через те, що людина не є благочестивою
i83962	capital of Sierra Leone: port city and the capital and largest city of Sierra Leone	столиця Сьєрра-Леоне	 портове місто, столиця і найбільше місто Сьєрра-Леоне
i98082	solar radiation: radiation from the sun	сонячна радіація	 випромінювання від сонця
i75205	producer: something that produces	виробник	 той, хто виробляє
i27774	stab: stab or pierce	stab	 колоти або протикати
i38676	cost accounting: keeping account of the costs of items in production	облік витрат	 облік витрат на вироби у виробництві
i52968	dishtowel: a towel for drying dishes	dishtowel	 рушник для сушіння посуду
i37532	convolution: the action of coiling or twisting or winding together	згортання	 дія згортання, скручування або намотування разом
i29597	tear up: tear into shreds	рвати	 розривати на шматки
i29319	ruddle: twist or braid together, interlace	рум'янець	 скрутити або заплести разом, переплести
i107979	stratification: forming or depositing in layers	стратифікація	 формування або відкладення шарами
i29113	lug: obstruct	вушко	 перешкода
i35100	overspread: spread across or over	розповсюджений	 поширений вздовж або впоперек
i36676	arousal: the act of arousing	збудження	 акт збудження
i77451	spaghetti: spaghetti served with a tomato sauce	спагеті	 спагеті подаються з томатним соусом
i108919	C: a degree on the centigrade scale of temperature	C	 градус за шкалою Цельсія
i31976	wheel around: wheel somebody or something	їздити по колу	 катати когось або щось по колу
i100229	oxeye daisy: similar to oxeye daisy	маргаритка	 схожа на маргаритку
i52268	confectionary: a confectioner's shop	кондитерські вироби	 кондитерська
i29143	lubricate: apply a lubricant to	змастити	 нанесіть мастило на
i29124	hang: cause to be hanging or suspended	висіти	 означати бути підвішеним або підвішеною
i35343	litter: strew	підстилка	 солома
i106579	insurance premium: payment for insurance	страховий внесок	 плата за страхування
i33049	bestow: present	дарувати	 подарунок
i61772	discernability: distinctness that makes perception easy	розрізнюваність	 виразність, що полегшує сприйняття
i25568	oppose: be against	протистояти	 бути проти
i71605	newscast: a broadcast of news or commentary on the news	випуски новин	 трансляція новин або коментарів до новин
i93835	unemployed person: someone who is jobless	безробітний	 той, хто не має роботи
i40790	worship: the activity of worshipping	поклоніння	 діяльність поклоніння
i48412	elk: common deer of temperate Europe and Asia	лось	 звичайний олень помірного поясу Європи та Азії
i87764	Latin American: a native of Latin America	Латиноамериканець	 уродженець Латинської Америки
i62044	unreality: the quality possessed by something that is unreal	ірреальність	 якість, якою володіє щось нереальне
i63402	inflexibility: a lack of physical flexibility	негнучкість	 відсутність фізичної гнучкості
i62818	incivility: deliberate discourtesy	нечемність	 навмисна нечемність
i82648	Republic of Albania: a republic in southeastern Europe on the Adriatic coast of the Balkan Peninsula	Республіка Албанія	 республіка в південно-східній Європі на Адріатичному узбережжі Балканського півострова
i62281	legitimacy: lawfulness by virtue of being authorized or in accordance with law	легітимність	 законність в силу того, що вона є санкціонованою або відповідно до закону
i117150	month: one of the twelve divisions of the calendar year	місяць	 один з дванадцяти розділів календарного року
i111827	eye disease: any disease of the eye	захворювання очей	 будь-яке захворювання очей
i51471	canvas: an oil painting on canvas fabric	полотно	 олійний живопис на полотні
i36653	re-establishment: restoration to a previous state	відновлення	 повернення до попереднього стану
i29184	link: link with or as with a yoke	зв'язок	 зв'язок з ярмом або як з ярмом
i71274	radio broadcast: a broadcast via radio	радіотрансляція	 передача по радіо
i82706	capital of Burundi: the capital and largest city of Burundi	столиця Бурунді	 столиця і найбільше місто Бурунді
i82915	capital of Slovakia: capital and largest city of Slovakia	столиця Словаччини	 столиця і найбільше місто Словаччини
i83549	capital of Nepal: the capital and largest city of Nepal	столиця Непалу	 столиця і найбільше місто Непалу
i83724	capital of Ghana: the capital and largest city of Ghana with a deep-water port	столиця Гани	 столиця і найбільше місто Гани з глибоководним портом
i83797	capital of Madagascar: the capital and largest city of Madagascar	столиця Мадагаскару	 столиця і найбільше місто Мадагаскару
i83842	capital of Mozambique: the capital and largest city of Mozambique	столиця Мозамбіку	 столиця і найбільше місто Мозамбіку
i83852	capital of Niger: the capital and largest city of Niger	столиця Нігеру	 столиця і найбільше місто Нігеру
i84074	capital of Turkmenistan: the capital and largest city of Turkmenistan	столиця Туркменістану	 столиця і найбільше місто Туркменістану
i84783	capital of Venezuela: the capital and largest city of Venezuela	столиця Венесуели	 столиця і найбільше місто Венесуели
i84801	capital of Zambia: the capital and largest city of Zambia	столиця Замбії	 столиця і найбільше місто Замбії
i84808	capital of Zimbabwe: the capital and largest city of Zimbabwe	столиця Зімбабве	 столиця і найбільше місто Зімбабве
i30117	plait: make by braiding or interlacing	коса	 плетіння або переплетення
i62324	intelligibility: the quality of language that is comprehensible	зрозумілість	 якість мови, яка є зрозумілою
i106761	amount of money: a quantity of money	amount of money	 кількість грошей
i40411	electrification: the act of providing electricity	електрифікація	 акт надання електроенергії
i57001	pargeting: ornamental plasterwork	таргетинг	 декоративна штукатурка
i27561	need: have need of	потребувати	 мати потребу в
i68084	Sufism: Islamic mysticism	Суфізм	 Ісламський містицизм
i35155	fit in: go together	вписуватися	 йти разом
i32115	shake off: get rid of	струсити	 позбутися
i50280	machine rifle: light machine gun	кулемет	 легкий кулемет
i112302	reflux: an abnormal backward flow of body fluids	рефлюкс	 аномальний зворотний потік рідини в організмі
i29289	cast off: to remove	відкинути	 видалити
i112440	tracheitis: inflammation of the trachea	трахеїт	 запалення трахеї
i69150	esteem: an attitude of admiration or esteem	повага	 ставлення захоплення або пошани
i76631	stock cube: a cube of dehydrated stock	бульйонний куб	 куб зневодненого бульйону
i97851	hydroelectricity: electricity produced by water power	гідроенергетика	 електроенергія, що виробляється за допомогою сили води
i28639	rally: gather	мітинг	 зібратися
i90311	great grandmother: a mother of your grandparent	прабабуся	 мати твого дідуся чи бабусі
i57012	parquet: a floor made of parquetry	паркет	 підлога з паркету
i29322	weave: interlace by or as if by weaving	плести	 переплітати шляхом або ніби плетінням
i112321	cholecystitis: inflammation of the gall bladder	холецистит	 запалення жовчного міхура
i72680	insignia of rank: an insignia worn on a military uniform	знак розрізнення	 знак розрізнення, який носять на військовій формі
i25658	forbid: command against	заборонити	 наказ не допускати
i62829	directness: trueness of course toward a goal	прямолінійність	 вірність курсу на досягнення мети
i35145	characterize: be characteristic of	характеризувати	 бути характерним для
i79755	Hinduism: the religion of most people in India, Bangladesh, Sri Lanka, and Nepal	Індуїзм	 релігія більшості населення Індії, Бангладеш, Шрі-Ланки та Непалу
i47643	silkworm moth: any silkworm moth of the family Saturniidae	шовкопряд	 будь-який шовкопряд родини Saturniidae
i52426	countertop: the top side of a counter	стільниця	 верхня сторона прилавка
i82807	Republic of El Salvador: a republic on the Pacific coast of Central America	Республіка Сальвадор	 республіка на тихоокеанському узбережжі Центральної Америки
i25771	declare: declare to be	declare	 оголошувати себе
i84070	capital of Kyrgyzstan: the capital of Kyrgyzstan (known as Frunze 1926-1991)	столиця Киргизстану	 столиця Киргизстану (відома як Фрунзе 1926-1991)
i69446	tabloid: sensationalist journalism	таблоїд	 сенсаційна журналістика
i48966	tuna: New Zealand eel	тунець	 Новозеландський вугор
i23493	stick with: keep to	дотримуватися	 дотримуватися
i31307	skulk: move furtively	скрадатися	 пересуватися потайки
i29894	generate: produce, create	генерувати	 виробляти, створювати
i109902	cuboid: a rectangular parallelepiped	кубоїд	 прямокутний паралелепіпед
i61705	hideousness: dreadful ugliness	огидність	 жахлива потворність
i68964	epistemology: the philosophical theory of knowledge	епістемологія	 філософська теорія пізнання
i75410	break: the occurrence of breaking	розрив	 виникнення розриву
i29127	hang: be suspended or poised	висіти	 бути підвішеним або врівноваженим
i114603	squirrel: the fur of a squirrel	білка	 хутро білки
i52927	dinner gown: a gown for evening wear	вечерня сукня	 сукня для вечірнього вбрання
i28065	bend: bend a joint	згинати	 згинати суглоб
i110362	unanimity: everyone being of one mind	одностайність	 всі мають одну думку
i103204	rose hip: the fruit of a rose plant	Шипшина	 плід трояндової рослини
i117445	Restoration: the reign of Charles II in England	Реставрація	 правління Карла II в Англії
i45173	Macropodidae: kangaroos	Macropodidae	 кенгуру
i57134	whistle: an inexpensive fipple flute	свисток	 недорога флейта-фіппл
i74415	notification: a request for payment	повідомлення	 запит на оплату
i46154	Atlantic puffin: common puffin of the northern Atlantic	Атлантичний турухтан	 звичайний турухтан північної Атлантики
i27870	strop: sharpen on a strop	строп	 точити на стропі
i108047	widening: an increase in width	розширення	 збільшення ширини
i63594	retardation: a decrease in rate of change	ретардація	 зниження темпів змін
i70598	timetable: a schedule of times of arrivals and departures	розклад	 графік прибуття та відправлення рейсів
i32159	spread: strew or distribute over an area	розкидати	 розкидати або розподіляти по площі
i92265	probationer: someone released on probation or on parole	умовно засуджений	 особа, звільнена з випробувальним терміном або умовно-достроково
i63256	tastiness: a pleasing palatability	смакові якості	 приємна на смак
i80211	Luftwaffe: the German airforce	Люфтваффе	 німецькі військово-повітряні сили
i30245	spell out: spell fully and without abbreviating	spell out	 писати повністю і без скорочень
i35386	wash: be capable of being washed	мити	 бути здатним до прання
i31275	traverse: travel across or pass over	перетинати	 перетинати або проходити через
i49906	air shaft: a shaft for ventilation	вентиляційна шахта	 шахта для вентиляції
i23573	unify: become one	об'єднатися	 стати одним цілим
i62539	steadiness: freedom from wavering or indecision	стабільність	 свобода від коливань або нерішучості
i36834	profanation: degradation of something worthy of respect	профанація	 приниження чогось гідного поваги
i62747	wrongness: inappropriate conduct	неправомірність	 неналежна поведінка
i25161	consider: judge or regard	розглядати	 судити чи ставитися з повагою
i62547	unyieldingness: resoluteness by virtue of being unyielding and inflexible	непоступливість	 рішучість через непоступливість і негнучкість
i31619	hang: let drop or droop	висіти	 опускатися або звисати
i91677	nun: a woman religious	черниця	 релігійна жінка
i32414	look around: look about oneself	озирніться навколо	 подивіться на себе
i112407	peritonitis: inflammation of the peritoneum	перитоніт	 запалення очеревини
i67393	incomprehension: an inability to understand	нерозуміння	 нездатність зрозуміти
i61649	marking: a pattern of marks	маркування	 схема позначок
i25411	relay: pass along	естафета	 передавати далі
i28162	uncouple: disconnect or separate	роз'єднувати	 від'єднувати або відокремлювати
i76144	partiality: a predisposition to like something	упередженість	 схильність любити щось
i57244	picture book: a book consisting chiefly of pictures	книжка-картинка	 книга, що складається переважно з малюнків
i64335	inefficacy: a lack of efficacy	неефективність	 відсутність результативності
i22458	sober: become more realistic	тверезість	 станьте більш реалістичними
i33012	accord: allow to have	згода	 дозволити мати
i90959	lessee: a tenant who holds a lease	орендар	 орендар, який має договір оренди
